scenario,target,n_bins,radius_mode,max_gap,mean_gap,queue_overlap_with_cqs,queue_overlap_with_raeg,robust_events,reference_events,robust_event_gain_vs_raeg,robust_capture_gain_vs_raeg
cross_year_2024_to_2025,severe_arrival_delay,10,bin_abs_gap_x2,0.013041436008778079,0.0018500097186010798,0.9376063528077141,0.5842314237095859,40599.0,36487.0,4112.0,0.049424265006370344
cross_year_2024_to_2025,severe_arrival_delay,10,global_max_gap,0.013041436008778079,0.0018500097186010798,0.932643221781055,0.7036301758366421,40714.0,36487.0,4227.0,0.05080650977186952
cross_year_2024_to_2025,severe_arrival_delay,20,bin_abs_gap,0.024473145987089856,0.0019076041308140862,0.9773114010209869,0.6263471355643789,40767.0,36487.0,4280.0,0.051443544315969134
cross_year_2024_to_2025,severe_arrival_delay,20,bin_abs_gap_x1_5,0.024473145987089856,0.0019076041308140862,0.9631310266591038,0.6157118547929665,40670.0,36487.0,4183.0,0.05027765090506983
cross_year_2024_to_2025,severe_arrival_delay,20,bin_abs_gap_x2,0.024473145987089856,0.0019076041308140862,0.9466817923993194,0.6016732841747022,40618.0,36487.0,4131.0,0.04965263588067021
cross_year_2024_to_2025,severe_arrival_delay,20,global_max_gap,0.024473145987089856,0.0019076041308140862,0.866137266023823,0.7630459444129325,40317.0,36487.0,3830.0,0.04603476045097238
cross_year_2024_to_2025,cancellation,5,bin_abs_gap,0.0019040918648737665,0.00047678059409662053,0.9845433919455474,0.7515598411798071,26100.0,24453.0,1647.0,0.04544827395899445
cross_year_2024_to_2025,cancellation,5,bin_abs_gap_x1_5,0.0019040918648737665,0.00047678059409662053,0.9760351673284174,0.7545377197958026,26086.0,24453.0,1633.0,0.04506194983305279
cross_year_2024_to_2025,cancellation,5,bin_abs_gap_x2,0.0019040918648737665,0.00047678059409662053,0.9676687464549064,0.7580828133862734,26067.0,24453.0,1614.0,0.0445376528049891
cross_year_2024_to_2025,cancellation,5,global_max_gap,0.0019040918648737665,0.00047678059409662053,0.9842597844583097,0.7585082246171299,26120.0,24453.0,1667.0,0.04600016556748255
cross_year_2024_to_2025,cancellation,10,bin_abs_gap,0.0035562405999775837,0.0004873679007594884,0.987379466817924,0.732274532047646,26140.0,24453.0,1687.0,0.04655205717597064
cross_year_2024_to_2025,cancellation,10,bin_abs_gap_x1_5,0.0035562405999775837,0.0004873679007594884,0.9818491208167895,0.7270277935337492,26131.0,24453.0,1678.0,0.046303705952151
cross_year_2024_to_2025,cancellation,10,bin_abs_gap_x2,0.0035562405999775837,0.0004873679007594884,0.9757515598411798,0.7212138400453773,26125.0,24453.0,1672.0,0.04613813846960457
cross_year_2024_to_2025,cancellation,10,global_max_gap,0.0035562405999775837,0.0004873679007594884,0.9679523539421441,0.7718377765173,26100.0,24453.0,1647.0,0.04544827395899445
cross_year_2024_to_2025,cancellation,20,bin_abs_gap,0.0067253361836959735,0.000526698137059348,0.9931934203062961,0.7446114577424844,26156.0,24453.0,1703.0,0.04699357046276111
