event_id,airport,tmi_type,constraint_type,state_peak_hour,delay_peak_hour,cancel_peak_hour,state_peak,delay_peak,cancel_peak,arrivals
203,JFK,GDP,weather constraint,5,4,10,8.875684001514466,0.4761904761904761,1.0,316
204,JFK,GDP,weather constraint,6,11,-5,7.740643778087292,1.0,0.0588235294117647,302
205,EWR,GS,other constraint,-6,5,17,5.903471764119114,0.2857142857142857,0.1,362
206,DFW,GS,other constraint,1,-3,-2,1.3550000000447004,0.6666666666666666,0.2857142857142857,767
207,CLT,GDP,other constraint,7,15,5,6.7149247075522895,1.0,0.3478260869565217,593
208,CLT,GDP,other constraint,7,15,5,6.7149247075522895,1.0,0.3478260869565217,593
209,EWR,GDP,weather constraint,5,3,-6,5.328003525199122,0.32,0.0,372
210,JFK,GDP,weather constraint,6,11,17,6.176536047614311,1.0,0.0714285714285714,312
211,LGA,GDP,weather constraint,6,4,-6,6.38192202287979,0.7083333333333334,0.0434782608695652,412
212,EWR,GS,weather constraint,4,2,-6,5.328003525199122,0.32,0.0,372
213,JFK,GS,weather constraint,4,9,15,6.176536047614311,1.0,0.0714285714285714,313
214,DEN,GDP,weather constraint,4,-6,0,4.107812962287894,0.2,0.05,888
215,JFK,GDP,weather constraint,4,3,-6,6.406115356318764,0.48,0.0,318
216,DFW,GS,weather constraint,2,-6,1,2.0283949125502096,0.1578947368421052,0.0714285714285714,866
217,DFW,GS,weather constraint,0,9,-1,2.0283949125502096,0.12,0.0714285714285714,845
218,SFO,GDP,weather constraint,1,7,4,1.9333747589071741,0.1818181818181818,0.03125,384
219,SFO,GDP,weather constraint,3,5,-2,3.858756843369665,0.0588235294117647,0.0,341
220,DEN,GS,weather constraint,4,6,-4,1.9387128428411475,0.1153846153846153,0.0344827586206896,763
221,DEN,GS,weather constraint,1,3,-6,1.9387128428411475,0.1153846153846153,0.0,821
222,EWR,GS,runway or surface constraint,1,14,-4,1.1018187844479699,0.2,0.0,290
223,DFW,GDP,other constraint,4,3,3,4.508327613926242,0.4186046511627907,0.0465116279069767,971
224,DFW,GS,weather constraint,3,2,2,4.508327613926242,0.4186046511627907,0.0465116279069767,931
225,DFW,GS,weather constraint,2,1,1,4.508327613926242,0.4186046511627907,0.0465116279069767,963
226,DEN,GS,weather constraint,2,0,16,2.818022174654651,0.2816901408450704,0.08,856
227,DFW,GS,weather constraint,18,1,15,10.749733172597818,0.6666666666666666,0.8,790
228,DEN,GS,weather constraint,5,3,15,2.818022174654651,0.2816901408450704,0.0689655172413793,936
229,DFW,GDP,weather constraint,15,-5,9,12.052385812189385,0.6666666666666666,0.8,777
230,DFW,GS,weather constraint,12,4,6,12.052385812189385,0.6111111111111112,0.8,839
231,DFW,GS,weather constraint,12,4,6,12.052385812189385,0.6111111111111112,0.8,839
232,DFW,GS,weather constraint,11,3,5,12.052385812189385,0.6111111111111112,0.8,834
233,DFW,GS,weather constraint,12,4,6,12.052385812189385,0.6111111111111112,0.8,839
234,DEN,GS,weather constraint,4,2,18,2.818022174654651,0.2816901408450704,0.08,870
235,DFW,GS,weather constraint,11,3,5,12.052385812189385,0.6111111111111112,0.8,834
236,DFW,GS,weather constraint,11,3,5,12.052385812189385,0.6111111111111112,0.8,834
237,DFW,GS,weather constraint,10,2,4,12.052385812189385,0.6111111111111112,0.8,836
238,DFW,GS,weather constraint,10,2,4,12.052385812189385,0.6111111111111112,0.8,836
239,DFW,GDP,weather constraint,15,-5,9,12.052385812189385,0.6666666666666666,0.8,777
240,LGA,GS,weather constraint,7,3,1,7.395012521183631,0.6956521739130435,0.1923076923076923,417
241,LGA,GS,weather constraint,7,3,1,7.395012521183631,0.6956521739130435,0.1923076923076923,417
242,JFK,GDP,weather constraint,7,6,3,8.115074093430147,0.75,0.1,291
243,CLT,GS,weather constraint,1,1,5,1.2566678017223176,0.3409090909090909,0.3939393939393939,541
244,EWR,GS,weather constraint,11,15,6,8.848042008510276,1.0,0.1666666666666666,367
245,JFK,GS,weather constraint,10,9,6,8.115074093430147,0.75,0.1,293
246,EWR,GDP,weather constraint,10,14,5,8.848042008510276,1.0,0.1666666666666666,362
247,JFK,GS,weather constraint,8,7,4,8.115074093430147,0.75,0.1,288
248,LGA,GS,weather constraint,8,4,2,7.395012521183631,0.6956521739130435,0.1923076923076923,412
249,LGA,GDP,weather constraint,7,3,1,7.395012521183631,0.6956521739130435,0.1923076923076923,417
250,LGA,GS,weather constraint,7,3,1,7.395012521183631,0.6956521739130435,0.1923076923076923,417
251,LGA,GS,weather constraint,18,1,-6,6.70097038585714,0.3478260869565217,0.0384615384615384,412
252,LGA,GDP,weather constraint,13,10,6,11.16048537099266,0.5652173913043478,0.037037037037037,385
253,EWR,GDP,facility constraint,5,5,-6,6.117354513434241,0.1818181818181818,0.0,359
254,LGA,GDP,weather constraint,13,10,6,11.16048537099266,0.5652173913043478,0.037037037037037,385
255,DFW,GS,weather constraint,16,-4,14,9.139600431332312,1.0,0.1612903225806451,880
256,DFW,GS,weather constraint,16,-4,14,9.139600431332312,1.0,0.1612903225806451,880
257,DFW,GS,weather constraint,15,-5,13,9.139600431332312,1.0,0.1612903225806451,864
258,DFW,GS,weather constraint,9,3,7,9.139600431332312,0.5074626865671642,0.1612903225806451,953
259,DFW,GDP,weather constraint,8,2,6,9.139600431332312,0.5074626865671642,0.1612903225806451,979
260,SFO,GDP,weather constraint,15,7,0,10.949154366202945,0.5833333333333334,0.0714285714285714,370
261,EWR,GS,demand constraint,1,8,1,0.8367794707234708,0.5,0.0714285714285714,369
262,SFO,GS,weather constraint,9,1,-6,10.949154366202945,0.5833333333333334,0.0714285714285714,387
263,DFW,GS,runway or surface constraint,1,6,6,1.5766902505806248,0.0909090909090909,0.0909090909090909,923
264,LGA,GS,demand constraint,2,2,-6,1.5994151341795142,0.125,0.0,417
265,SFO,GDP,weather constraint,15,7,0,10.949154366202945,0.5833333333333334,0.0714285714285714,370
266,SFO,GDP,weather constraint,3,9,0,9.313870045828837,0.2727272727272727,0.0263157894736842,409
267,DFW,GS,weather constraint,8,11,9,2.8464504061559985,0.1818181818181818,0.7285714285714285,915
268,SFO,GDP,weather constraint,15,3,7,11.954810265147557,0.5,0.0909090909090909,399
269,DFW,GS,other constraint,1,4,2,2.8464504061559985,0.1818181818181818,0.7285714285714285,974
270,EWR,GS,runway or surface constraint,11,9,4,12.07102634688736,0.7333333333333333,0.1904761904761904,323
271,EWR,GDP,runway or surface constraint,17,15,10,12.07102634688736,0.7333333333333333,0.1904761904761904,304
272,SFO,GDP,weather constraint,2,5,-6,11.954810265147557,0.5,0.0909090909090909,395
273,ORD,GDP,weather constraint,13,5,7,10.229833751022733,0.88,0.1111111111111111,720
274,ORD,GDP,weather constraint,13,5,7,10.229833751022733,0.88,0.1111111111111111,720
275,LGA,GS,weather constraint,6,4,5,9.202267630784613,0.6153846153846154,0.2777777777777778,418
276,CLT,GDP,other constraint,4,16,1,4.507716075095177,0.5,0.2,588
277,JFK,GS,demand constraint,7,10,3,10.229843891254722,1.0,0.2631578947368421,304
278,SFO,GDP,weather constraint,16,11,10,12.24984165131237,0.8095238095238095,0.3,406
279,LGA,GDP,weather constraint,11,9,10,9.202267630784613,0.6153846153846154,0.2777777777777778,370
280,JFK,GDP,weather constraint,13,16,9,10.229843891254722,1.0,0.2631578947368421,294
281,EWR,GDP,weather constraint,10,14,16,12.131938693599386,1.0,0.2,367
282,JFK,GDP,weather constraint,13,16,9,10.229843891254722,1.0,0.2631578947368421,294
283,JFK,GS,weather constraint,6,9,2,10.229843891254722,1.0,0.2631578947368421,302
284,DEN,GDP,weather constraint,4,12,15,3.8968350034563017,1.0,0.0454545454545454,935
285,EWR,GS,demand constraint,-6,-5,16,7.263839840433348,0.25,0.0588235294117647,371
286,SFO,GS,other constraint,3,1,13,6.999122194815684,0.3333333333333333,0.0714285714285714,407
287,SFO,GDP,weather constraint,2,0,18,6.999122194815684,0.3333333333333333,0.1111111111111111,399
288,LGA,GS,demand constraint,1,5,10,2.0623680142762577,0.1,0.05,413
289,DEN,GS,weather constraint,5,12,4,6.362436918968296,1.0,0.0793650793650793,864
290,DEN,GDP,weather constraint,5,12,4,6.362436918968296,1.0,0.0793650793650793,864
291,ORD,GS,weather constraint,10,7,8,7.314448468124223,0.8441558441558441,0.2826086956521739,824
292,DFW,GS,weather constraint,9,4,-5,7.651552539893316,0.4477611940298507,0.1333333333333333,881
293,DFW,GDP,weather constraint,7,2,5,7.651552539893316,0.4477611940298507,0.0930232558139534,937
294,DFW,GS,weather constraint,8,3,-6,7.651552539893316,0.4477611940298507,0.1333333333333333,900
295,ORD,GS,weather constraint,8,5,6,7.314448468124223,0.8441558441558441,0.2826086956521739,885
